,Time,1
S/N,,759293
Type,,TGPR-1201
Description,,id14
Property,,Count
199,2019-02-07 08:10:00,0.0 per Logging Interval
200,2019-02-07 08:15:00,0.0 per Logging Interval
201,2019-02-07 08:20:00,0.0 per Logging Interval
202,2019-02-07 08:25:00,0.0 per Logging Interval
203,2019-02-07 08:30:00,0.0 per Logging Interval
204,2019-02-07 08:35:00,0.0 per Logging Interval
205,2019-02-07 08:40:00,0.0 per Logging Interval
206,2019-02-07 08:45:00,0.0 per Logging Interval
207,2019-02-07 08:50:00,0.0 per Logging Interval
208,2019-02-07 08:55:00,0.0 per Logging Interval
209,2019-02-07 09:00:00,0.0 per Logging Interval
210,2019-02-07 09:05:00,0.0 per Logging Interval
211,2019-02-07 09:10:00,0.0 per Logging Interval
212,2019-02-07 09:15:00,0.0 per Logging Interval
213,2019-02-07 09:20:00,0.0 per Logging Interval
214,2019-02-07 09:25:00,0.0 per Logging Interval
215,2019-02-07 09:30:00,0.0 per Logging Interval
216,2019-02-07 09:35:00,0.0 per Logging Interval
217,2019-02-07 09:40:00,0.0 per Logging Interval
218,2019-02-07 09:45:00,0.0 per Logging Interval
219,2019-02-07 09:50:00,0.0 per Logging Interval
220,2019-02-07 09:55:00,0.0 per Logging Interval
221,2019-02-07 10:00:00,0.0 per Logging Interval
222,2019-02-07 10:05:00,0.0 per Logging Interval
223,2019-02-07 10:10:00,0.0 per Logging Interval
224,2019-02-07 10:15:00,0.0 per Logging Interval
225,2019-02-07 10:20:00,0.0 per Logging Interval
226,2019-02-07 10:25:00,0.0 per Logging Interval
227,2019-02-07 10:30:00,0.0 per Logging Interval
228,2019-02-07 10:35:00,0.0 per Logging Interval
229,2019-02-07 10:40:00,0.0 per Logging Interval
230,2019-02-07 10:45:00,0.0 per Logging Interval
231,2019-02-07 10:50:00,0.0 per Logging Interval
232,2019-02-07 10:55:00,0.0 per Logging Interval
233,2019-02-07 11:00:00,0.0 per Logging Interval
234,2019-02-07 11:05:00,0.0 per Logging Interval
235,2019-02-07 11:10:00,0.0 per Logging Interval
236,2019-02-07 11:15:00,0.0 per Logging Interval
237,2019-02-07 11:20:00,0.0 per Logging Interval
238,2019-02-07 11:25:00,0.0 per Logging Interval
239,2019-02-07 11:30:00,0.0 per Logging Interval
240,2019-02-07 11:35:00,0.0 per Logging Interval
241,2019-02-07 11:40:00,0.0 per Logging Interval
242,2019-02-07 11:45:00,0.0 per Logging Interval
243,2019-02-07 11:50:00,0.0 per Logging Interval
244,2019-02-07 11:55:00,0.0 per Logging Interval
245,2019-02-07 12:00:00,0.0 per Logging Interval
246,2019-02-07 12:05:00,0.0 per Logging Interval
247,2019-02-07 12:10:00,0.0 per Logging Interval
248,2019-02-07 12:15:00,0.0 per Logging Interval
249,2019-02-07 12:20:00,0.0 per Logging Interval
250,2019-02-07 12:25:00,0.0 per Logging Interval
251,2019-02-07 12:30:00,0.0 per Logging Interval
252,2019-02-07 12:35:00,0.0 per Logging Interval
253,2019-02-07 12:40:00,0.0 per Logging Interval
254,2019-02-07 12:45:00,0.0 per Logging Interval
255,2019-02-07 12:50:00,0.0 per Logging Interval
256,2019-02-07 12:55:00,0.0 per Logging Interval
257,2019-02-07 13:00:00,0.0 per Logging Interval
258,2019-02-07 13:05:00,0.0 per Logging Interval
259,2019-02-07 13:10:00,0.0 per Logging Interval
260,2019-02-07 13:15:00,0.0 per Logging Interval
261,2019-02-07 13:20:00,0.0 per Logging Interval
262,2019-02-07 13:25:00,0.0 per Logging Interval
263,2019-02-07 13:30:00,0.0 per Logging Interval
264,2019-02-07 13:35:00,0.0 per Logging Interval
265,2019-02-07 13:40:00,0.0 per Logging Interval
266,2019-02-07 13:45:00,0.0 per Logging Interval
267,2019-02-07 13:50:00,0.0 per Logging Interval
268,2019-02-07 13:55:00,0.0 per Logging Interval
269,2019-02-07 14:00:00,0.0 per Logging Interval
270,2019-02-07 14:05:00,0.0 per Logging Interval
271,2019-02-07 14:10:00,0.0 per Logging Interval
272,2019-02-07 14:15:00,0.0 per Logging Interval
273,2019-02-07 14:20:00,0.0 per Logging Interval
274,2019-02-07 14:25:00,0.0 per Logging Interval
275,2019-02-07 14:30:00,0.0 per Logging Interval
276,2019-02-07 14:35:00,0.0 per Logging Interval
277,2019-02-07 14:40:00,0.0 per Logging Interval
278,2019-02-07 14:45:00,0.0 per Logging Interval
279,2019-02-07 14:50:00,0.0 per Logging Interval
280,2019-02-07 14:55:00,0.0 per Logging Interval
281,2019-02-07 15:00:00,0.0 per Logging Interval
282,2019-02-07 15:05:00,0.0 per Logging Interval
283,2019-02-07 15:10:00,0.0 per Logging Interval
284,2019-02-07 15:15:00,0.0 per Logging Interval
285,2019-02-07 15:20:00,0.0 per Logging Interval
286,2019-02-07 15:25:00,0.0 per Logging Interval
287,2019-02-07 15:30:00,0.0 per Logging Interval
288,2019-02-07 15:35:00,0.0 per Logging Interval
289,2019-02-07 15:40:00,0.0 per Logging Interval
290,2019-02-07 15:45:00,0.0 per Logging Interval
291,2019-02-07 15:50:00,0.0 per Logging Interval
292,2019-02-07 15:55:00,0.0 per Logging Interval
293,2019-02-07 16:00:00,0.0 per Logging Interval
294,2019-02-07 16:05:00,0.0 per Logging Interval
295,2019-02-07 16:10:00,0.0 per Logging Interval
296,2019-02-07 16:15:00,0.0 per Logging Interval
297,2019-02-07 16:20:00,0.0 per Logging Interval
298,2019-02-07 16:25:00,0.0 per Logging Interval
299,2019-02-07 16:30:00,0.0 per Logging Interval
300,2019-02-07 16:35:00,0.0 per Logging Interval
301,2019-02-07 16:40:00,0.0 per Logging Interval
302,2019-02-07 16:45:00,0.0 per Logging Interval
303,2019-02-07 16:50:00,0.0 per Logging Interval
304,2019-02-07 16:55:00,0.0 per Logging Interval
305,2019-02-07 17:00:00,0.0 per Logging Interval
306,2019-02-07 17:05:00,0.0 per Logging Interval
307,2019-02-07 17:10:00,0.0 per Logging Interval
308,2019-02-07 17:15:00,0.0 per Logging Interval
309,2019-02-07 17:20:00,0.0 per Logging Interval
310,2019-02-07 17:25:00,0.0 per Logging Interval
311,2019-02-07 17:30:00,0.0 per Logging Interval
312,2019-02-07 17:35:00,0.0 per Logging Interval
313,2019-02-07 17:40:00,0.0 per Logging Interval
314,2019-02-07 17:45:00,0.0 per Logging Interval
315,2019-02-07 17:50:00,0.0 per Logging Interval
316,2019-02-07 17:55:00,0.0 per Logging Interval
317,2019-02-07 18:00:00,0.0 per Logging Interval
318,2019-02-07 18:05:00,0.0 per Logging Interval
319,2019-02-07 18:10:00,0.0 per Logging Interval
320,2019-02-07 18:15:00,0.0 per Logging Interval
321,2019-02-07 18:20:00,0.0 per Logging Interval
322,2019-02-07 18:25:00,0.0 per Logging Interval
323,2019-02-07 18:30:00,0.0 per Logging Interval
324,2019-02-07 18:35:00,0.0 per Logging Interval
325,2019-02-07 18:40:00,0.0 per Logging Interval
326,2019-02-07 18:45:00,0.0 per Logging Interval
327,2019-02-07 18:50:00,0.0 per Logging Interval
328,2019-02-07 18:55:00,0.0 per Logging Interval
329,2019-02-07 19:00:00,0.0 per Logging Interval
330,2019-02-07 19:05:00,0.0 per Logging Interval
331,2019-02-07 19:10:00,0.0 per Logging Interval
332,2019-02-07 19:15:00,0.0 per Logging Interval
333,2019-02-07 19:20:00,0.0 per Logging Interval
334,2019-02-07 19:25:00,0.0 per Logging Interval
335,2019-02-07 19:30:00,0.0 per Logging Interval
336,2019-02-07 19:35:00,0.0 per Logging Interval
337,2019-02-07 19:40:00,0.0 per Logging Interval
338,2019-02-07 19:45:00,0.0 per Logging Interval
339,2019-02-07 19:50:00,0.0 per Logging Interval
340,2019-02-07 19:55:00,0.0 per Logging Interval
341,2019-02-07 20:00:00,0.0 per Logging Interval
342,2019-02-07 20:05:00,0.0 per Logging Interval
343,2019-02-07 20:10:00,0.0 per Logging Interval
344,2019-02-07 20:15:00,0.0 per Logging Interval
345,2019-02-07 20:20:00,0.0 per Logging Interval
346,2019-02-07 20:25:00,0.0 per Logging Interval
347,2019-02-07 20:30:00,0.0 per Logging Interval
348,2019-02-07 20:35:00,0.0 per Logging Interval
349,2019-02-07 20:40:00,0.0 per Logging Interval
350,2019-02-07 20:45:00,0.0 per Logging Interval
351,2019-02-07 20:50:00,0.0 per Logging Interval
352,2019-02-07 20:55:00,0.0 per Logging Interval
353,2019-02-07 21:00:00,0.0 per Logging Interval
354,2019-02-07 21:05:00,0.0 per Logging Interval
355,2019-02-07 21:10:00,0.0 per Logging Interval
356,2019-02-07 21:15:00,0.0 per Logging Interval
357,2019-02-07 21:20:00,0.0 per Logging Interval
358,2019-02-07 21:25:00,0.0 per Logging Interval
359,2019-02-07 21:30:00,0.0 per Logging Interval
360,2019-02-07 21:35:00,0.0 per Logging Interval
361,2019-02-07 21:40:00,0.0 per Logging Interval
362,2019-02-07 21:45:00,0.0 per Logging Interval
363,2019-02-07 21:50:00,0.0 per Logging Interval
364,2019-02-07 21:55:00,0.0 per Logging Interval
365,2019-02-07 22:00:00,0.0 per Logging Interval
366,2019-02-07 22:05:00,0.0 per Logging Interval
367,2019-02-07 22:10:00,0.0 per Logging Interval
368,2019-02-07 22:15:00,0.0 per Logging Interval
369,2019-02-07 22:20:00,0.0 per Logging Interval
370,2019-02-07 22:25:00,0.0 per Logging Interval
371,2019-02-07 22:30:00,0.0 per Logging Interval
372,2019-02-07 22:35:00,0.0 per Logging Interval
373,2019-02-07 22:40:00,0.0 per Logging Interval
374,2019-02-07 22:45:00,0.0 per Logging Interval
375,2019-02-07 22:50:00,0.0 per Logging Interval
376,2019-02-07 22:55:00,0.0 per Logging Interval
377,2019-02-07 23:00:00,0.0 per Logging Interval
378,2019-02-07 23:05:00,0.0 per Logging Interval
379,2019-02-07 23:10:00,0.0 per Logging Interval
380,2019-02-07 23:15:00,0.0 per Logging Interval
381,2019-02-07 23:20:00,0.0 per Logging Interval
382,2019-02-07 23:25:00,0.0 per Logging Interval
383,2019-02-07 23:30:00,0.0 per Logging Interval
384,2019-02-07 23:35:00,0.0 per Logging Interval
385,2019-02-07 23:40:00,0.0 per Logging Interval
386,2019-02-07 23:45:00,0.0 per Logging Interval
387,2019-02-07 23:50:00,0.0 per Logging Interval
388,2019-02-07 23:55:00,0.0 per Logging Interval
389,2019-02-08 00:00:00,0.0 per Logging Interval
